%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
2010  2   6  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  82.50  -2.20 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2   7  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  78.53  -2.20 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2   8  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  76.07  -1.70 100.00 0.0000  30.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2   9  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.28  74.59  -1.70 100.00 0.0000 171.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  10  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.73  73.46  -2.20 100.00 0.0000 247.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  11  0 -999.00 -999.00 -999.00 -999.00 -999.00  11.18  72.15  -2.20 100.00 0.0000 234.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  12  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.28  75.57  -3.30 100.00 0.0000 189.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  13  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.73  73.24  -2.80 100.00 0.0000 249.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  14  0 -999.00 -999.00 -999.00 -999.00 -999.00  11.18  75.98  -2.80 100.00 0.0000 194.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  15  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.39  72.51  -2.80 100.00 0.0000 155.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  16  0 -999.00 -999.00 -999.00 -999.00 -999.00  12.52  73.66  -3.30 100.00 0.0000  77.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  17  0 -999.00 -999.00 -999.00 -999.00 -999.00  13.86  74.63  -4.40 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  18  0 -999.00 -999.00 -999.00 -999.00 -999.00  14.31  76.53  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  19  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.28  80.07  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  20  0 -999.00 -999.00 -999.00 -999.00 -999.00  13.86  78.29  -7.20 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  21  0 -999.00 -999.00 -999.00 -999.00 -999.00  11.18  76.87  -7.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  22  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.28  75.91  -7.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  2  23  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.73  81.57  -8.30 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   0  0 -999.00 -999.00 -999.00 -999.00 -999.00  12.96  81.51  -7.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   1  0 -999.00 -999.00 -999.00 -999.00 -999.00  13.41  75.47  -7.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   2  0 -999.00 -999.00 -999.00 -999.00 -999.00  13.41  75.62  -7.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   3  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.39  76.06  -7.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   4  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.83  76.67  -7.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   5  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.28  77.25  -7.80  99.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   6  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.73  77.47  -7.20  99.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   7  0 -999.00 -999.00 -999.00 -999.00 -999.00  11.62  78.13  -7.20  99.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   8  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.28  79.24  -6.70  99.00 0.0000  24.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3   9  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.83  74.17  -6.10  99.00 0.0000 119.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  10  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.83  74.52  -5.60  99.00 0.0000 181.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  11  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.83  75.30  -5.00  99.00 0.0000 221.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  12  0 -999.00 -999.00 -999.00 -999.00 -999.00  14.75  70.88  -5.60  99.00 0.0000 351.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  13  0 -999.00 -999.00 -999.00 -999.00 -999.00  12.96  72.11  -5.00  99.00 0.0000 368.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  14  0 -999.00 -999.00 -999.00 -999.00 -999.00  12.96  73.24  -5.00  99.00 0.0000 204.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  15  0 -999.00 -999.00 -999.00 -999.00 -999.00  13.86  73.84  -6.10  99.00 0.0000  74.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  16  0 -999.00 -999.00 -999.00 -999.00 -999.00  13.86  73.33  -6.10  99.00 0.0000  27.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  17  0 -999.00 -999.00 -999.00 -999.00 -999.00  10.73  77.99  -6.70 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  18  0 -999.00 -999.00 -999.00 -999.00 -999.00  13.41  77.89  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  19  0 -999.00 -999.00 -999.00 -999.00 -999.00  11.18  78.97  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  20  0 -999.00 -999.00 -999.00 -999.00 -999.00  12.96  80.68  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  21  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.83  82.35  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  22  0 -999.00 -999.00 -999.00 -999.00 -999.00  11.18  77.44  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  3  23  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.39  78.31  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   0  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  79.05  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   1  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.39  79.60  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   2  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  79.88  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   3  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.94  79.66  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   4  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.94  85.85  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   5  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.94  85.94  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   6  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  85.73  -6.70 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   7  0 -999.00 -999.00 -999.00 -999.00 -999.00   5.81  85.52  -6.70 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   8  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.71  80.37  -5.60 100.00 0.0000  12.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4   9  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.83  76.45  -5.00 100.00 0.0000  99.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  10  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.39  74.20  -3.30 100.00 0.0000 211.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  11  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  72.36  -2.80 100.00 0.0000 285.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  12  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  69.71  -2.20 100.00 0.0000 394.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  13  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.26  71.33  -1.10 100.00 0.0000 379.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  14  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  67.00  -0.60 100.00 0.0000 319.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  15  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  71.83  -0.60 100.00 0.0000 225.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  16  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.71  70.52  -1.10 100.00 0.0000  85.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  17  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.60  73.46  -2.20 100.00 0.0000   5.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  18  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.60  76.34  -2.80 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  19  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.39  79.37  -3.30 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  20  0 -999.00 -999.00 -999.00 -999.00 -999.00   9.39  83.11  -4.40 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  21  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.26  81.45  -5.00 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  22  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.60  80.34  -5.00 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  4  23  0 -999.00 -999.00 -999.00 -999.00 -999.00   8.05  85.99  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   0  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.15  85.64  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   1  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.26  85.37  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   2  0 -999.00 -999.00 -999.00 -999.00 -999.00   5.81  85.09  -6.10 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   3  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.26  84.93  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   4  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.71  85.04  -5.00 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   5  0 -999.00 -999.00 -999.00 -999.00 -999.00   7.60  85.29  -5.00 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   6  0 -999.00 -999.00 -999.00 -999.00 -999.00   4.92  85.47  -5.00 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   7  0 -999.00 -999.00 -999.00 -999.00 -999.00   6.71  85.75  -5.60 100.00 0.0000   0.00 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2010  5   8  0 -999.00 -999.00 -999.00 -999.00 -999.00   5.81  82.06  -5.60 100.00 0.0000  36.50 -999.00 -999.00 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
