Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.080 0.016 0.000 0.000 0.000 0.000 0.904
  5 0.000 0.000 0.000 0.032 0.000 0.000 0.968
 10 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 15 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 20 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 25 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 30 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 35 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 40 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 45 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 50 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 55 0.000 0.000 0.000 0.000 0.000 0.000 1.000
 60 0.028 0.000 0.000 0.000 0.000 0.000 0.972
 65 0.095 0.000 0.000 0.000 0.000 0.000 0.905
 70 0.114 0.000 0.000 0.008 0.000 0.000 0.879
 75 0.124 0.000 0.000 0.039 0.008 0.000 0.829
 80 0.096 0.056 0.000 0.048 0.000 0.000 0.800
 85 0.112 0.128 0.000 0.016 0.008 0.000 0.736
 90 0.128 0.136 0.000 0.056 0.000 0.000 0.680
 95 0.168 0.168 0.000 0.016 0.008 0.000 0.640
100 0.200 0.104 0.000 0.072 0.024 0.000 0.600
105 0.256 0.101 0.000 0.070 0.008 0.000 0.566
110 0.212 0.167 0.000 0.061 0.015 0.000 0.545
115 0.190 0.175 0.000 0.109 0.007 0.000 0.518
120 0.238 0.168 0.000 0.091 0.028 0.000 0.476
125 0.099 0.205 0.000 0.179 0.053 0.000 0.464
130 0.253 0.204 0.000 0.093 0.019 0.000 0.432
135 0.229 0.194 0.000 0.109 0.069 0.000 0.400
140 0.167 0.228 0.000 0.105 0.056 0.000 0.444
145 0.172 0.139 0.000 0.179 0.013 0.000 0.497
150 0.175 0.119 0.000 0.147 0.014 0.000 0.545
155 0.153 0.066 0.000 0.146 0.029 0.000 0.606
160 0.174 0.030 0.000 0.136 0.000 0.000 0.659
165 0.085 0.054 0.000 0.116 0.023 0.000 0.721
170 0.064 0.024 0.000 0.096 0.032 0.000 0.784
175 0.088 0.032 0.000 0.024 0.016 0.000 0.840
180 0.080 0.016 0.000 0.000 0.000 0.000 0.904
185 0.000 0.000 0.000 0.032 0.000 0.000 0.968
190 0.000 0.000 0.000 0.000 0.000 0.000 1.000
195 0.000 0.000 0.000 0.000 0.000 0.000 1.000
200 0.000 0.000 0.000 0.000 0.000 0.000 1.000
205 0.000 0.000 0.000 0.000 0.000 0.000 1.000
210 0.000 0.000 0.000 0.000 0.000 0.000 1.000
215 0.000 0.000 0.000 0.000 0.000 0.000 1.000
220 0.000 0.000 0.000 0.000 0.000 0.000 1.000
225 0.000 0.000 0.000 0.000 0.000 0.000 1.000
230 0.000 0.000 0.000 0.000 0.000 0.000 1.000
235 0.000 0.000 0.000 0.000 0.000 0.000 1.000
240 0.021 0.000 0.000 0.000 0.000 0.000 0.979
245 0.088 0.000 0.000 0.007 0.000 0.000 0.905
250 0.121 0.000 0.000 0.000 0.015 0.000 0.864
255 0.124 0.000 0.000 0.039 0.008 0.000 0.829
260 0.096 0.056 0.000 0.048 0.000 0.000 0.800
265 0.112 0.128 0.000 0.016 0.008 0.000 0.736
270 0.128 0.136 0.000 0.056 0.000 0.000 0.680
275 0.168 0.168 0.000 0.016 0.008 0.000 0.640
280 0.200 0.104 0.000 0.072 0.024 0.000 0.600
285 0.256 0.101 0.000 0.070 0.008 0.000 0.566
290 0.197 0.189 0.000 0.053 0.015 0.000 0.545
295 0.234 0.131 0.000 0.095 0.029 0.000 0.511
300 0.231 0.175 0.000 0.084 0.028 0.000 0.483
305 0.146 0.219 0.000 0.146 0.026 0.000 0.464
310 0.241 0.185 0.000 0.117 0.025 0.000 0.432
315 0.229 0.194 0.000 0.109 0.069 0.000 0.400
320 0.198 0.222 0.000 0.080 0.043 0.000 0.457
325 0.159 0.126 0.000 0.199 0.013 0.000 0.503
330 0.175 0.112 0.000 0.140 0.021 0.000 0.552
335 0.175 0.022 0.000 0.175 0.015 0.000 0.613
340 0.136 0.053 0.000 0.136 0.008 0.000 0.667
345 0.085 0.054 0.000 0.116 0.023 0.000 0.721
350 0.064 0.024 0.000 0.096 0.032 0.000 0.784
355 0.088 0.032 0.000 0.024 0.016 0.000 0.840
