Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.320 0.496 0.000 0.184 0.000 0.000 0.000
  5 0.336 0.432 0.000 0.232 0.000 0.000 0.000
 10 0.240 0.520 0.000 0.224 0.016 0.000 0.000
 15 0.194 0.442 0.000 0.271 0.093 0.000 0.000
 20 0.220 0.462 0.000 0.227 0.091 0.000 0.000
 25 0.248 0.504 0.000 0.226 0.022 0.000 0.000
 30 0.259 0.497 0.000 0.210 0.035 0.000 0.000
 35 0.258 0.483 0.000 0.232 0.026 0.000 0.000
 40 0.253 0.531 0.000 0.198 0.019 0.000 0.000
 45 0.331 0.469 0.000 0.143 0.057 0.000 0.000
 50 0.309 0.562 0.000 0.111 0.019 0.000 0.000
 55 0.397 0.437 0.000 0.166 0.000 0.000 0.000
 60 0.420 0.371 0.000 0.203 0.007 0.000 0.000
 65 0.394 0.423 0.000 0.175 0.007 0.000 0.000
 70 0.386 0.515 0.000 0.098 0.000 0.000 0.000
 75 0.388 0.465 0.000 0.147 0.000 0.000 0.000
 80 0.384 0.368 0.000 0.248 0.000 0.000 0.000
 85 0.312 0.480 0.000 0.184 0.024 0.000 0.000
 90 0.264 0.464 0.000 0.272 0.000 0.000 0.000
 95 0.400 0.368 0.000 0.216 0.016 0.000 0.000
100 0.256 0.544 0.000 0.152 0.048 0.000 0.000
105 0.333 0.442 0.000 0.186 0.039 0.000 0.000
110 0.379 0.447 0.000 0.167 0.008 0.000 0.000
115 0.650 0.197 0.000 0.153 0.000 0.000 0.000
120 0.867 0.028 0.000 0.105 0.000 0.000 0.000
125 0.497 0.424 0.000 0.079 0.000 0.000 0.000
130 0.383 0.414 0.000 0.185 0.019 0.000 0.000
135 0.400 0.469 0.000 0.131 0.000 0.000 0.000
140 0.364 0.512 0.000 0.123 0.000 0.000 0.000
145 0.344 0.497 0.000 0.159 0.000 0.000 0.000
150 0.294 0.538 0.000 0.161 0.007 0.000 0.000
155 0.285 0.526 0.000 0.175 0.015 0.000 0.000
160 0.280 0.485 0.000 0.235 0.000 0.000 0.000
165 0.295 0.473 0.000 0.233 0.000 0.000 0.000
170 0.408 0.408 0.000 0.176 0.008 0.000 0.000
175 0.360 0.464 0.000 0.176 0.000 0.000 0.000
180 0.320 0.496 0.000 0.184 0.000 0.000 0.000
185 0.336 0.432 0.000 0.232 0.000 0.000 0.000
190 0.240 0.520 0.000 0.224 0.016 0.000 0.000
195 0.194 0.442 0.000 0.271 0.093 0.000 0.000
200 0.227 0.432 0.000 0.273 0.068 0.000 0.000
205 0.307 0.482 0.000 0.175 0.036 0.000 0.000
210 0.259 0.483 0.000 0.210 0.049 0.000 0.000
215 0.265 0.411 0.000 0.278 0.046 0.000 0.000
220 0.216 0.525 0.000 0.222 0.037 0.000 0.000
225 0.331 0.469 0.000 0.143 0.057 0.000 0.000
230 0.327 0.537 0.000 0.123 0.012 0.000 0.000
235 0.384 0.377 0.000 0.225 0.013 0.000 0.000
240 0.420 0.378 0.000 0.196 0.007 0.000 0.000
245 0.416 0.416 0.000 0.168 0.000 0.000 0.000
250 0.402 0.470 0.000 0.129 0.000 0.000 0.000
255 0.388 0.465 0.000 0.147 0.000 0.000 0.000
260 0.384 0.368 0.000 0.248 0.000 0.000 0.000
265 0.312 0.480 0.000 0.184 0.024 0.000 0.000
270 0.264 0.464 0.000 0.272 0.000 0.000 0.000
275 0.400 0.368 0.000 0.216 0.016 0.000 0.000
280 0.256 0.544 0.000 0.152 0.048 0.000 0.000
285 0.333 0.442 0.000 0.186 0.039 0.000 0.000
290 0.424 0.477 0.000 0.098 0.000 0.000 0.000
295 0.693 0.109 0.000 0.197 0.000 0.000 0.000
300 0.902 0.000 0.000 0.098 0.000 0.000 0.000
305 0.457 0.450 0.000 0.093 0.000 0.000 0.000
310 0.407 0.395 0.000 0.191 0.006 0.000 0.000
315 0.400 0.469 0.000 0.131 0.000 0.000 0.000
320 0.340 0.531 0.000 0.130 0.000 0.000 0.000
325 0.384 0.444 0.000 0.159 0.013 0.000 0.000
330 0.294 0.538 0.000 0.161 0.007 0.000 0.000
335 0.328 0.496 0.000 0.175 0.000 0.000 0.000
340 0.303 0.485 0.000 0.212 0.000 0.000 0.000
345 0.295 0.473 0.000 0.233 0.000 0.000 0.000
350 0.408 0.408 0.000 0.176 0.008 0.000 0.000
355 0.360 0.464 0.000 0.176 0.000 0.000 0.000
