Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.352 0.512 0.000 0.136 0.000 0.000 0.000
  5 0.296 0.496 0.000 0.192 0.016 0.000 0.000
 10 0.312 0.496 0.000 0.192 0.000 0.000 0.000
 15 0.380 0.434 0.000 0.155 0.031 0.000 0.000
 20 0.235 0.614 0.000 0.152 0.000 0.000 0.000
 25 0.270 0.569 0.000 0.161 0.000 0.000 0.000
 30 0.259 0.608 0.000 0.126 0.007 0.000 0.000
 35 0.252 0.689 0.000 0.053 0.007 0.000 0.000
 40 0.401 0.463 0.000 0.117 0.019 0.000 0.000
 45 0.371 0.520 0.000 0.103 0.006 0.000 0.000
 50 0.340 0.574 0.000 0.080 0.006 0.000 0.000
 55 0.477 0.497 0.000 0.013 0.013 0.000 0.000
 60 0.517 0.420 0.000 0.049 0.014 0.000 0.000
 65 0.562 0.350 0.000 0.073 0.015 0.000 0.000
 70 0.629 0.295 0.000 0.076 0.000 0.000 0.000
 75 0.628 0.318 0.000 0.054 0.000 0.000 0.000
 80 0.592 0.336 0.000 0.072 0.000 0.000 0.000
 85 0.536 0.344 0.000 0.120 0.000 0.000 0.000
 90 0.480 0.416 0.000 0.104 0.000 0.000 0.000
 95 0.496 0.464 0.000 0.032 0.008 0.000 0.000
100 0.408 0.552 0.000 0.040 0.000 0.000 0.000
105 0.357 0.558 0.000 0.078 0.008 0.000 0.000
110 0.326 0.583 0.000 0.076 0.015 0.000 0.000
115 0.540 0.328 0.000 0.131 0.000 0.000 0.000
120 0.797 0.119 0.000 0.084 0.000 0.000 0.000
125 0.477 0.450 0.000 0.073 0.000 0.000 0.000
130 0.389 0.531 0.000 0.080 0.000 0.000 0.000
135 0.434 0.491 0.000 0.074 0.000 0.000 0.000
140 0.407 0.519 0.000 0.068 0.006 0.000 0.000
145 0.318 0.583 0.000 0.099 0.000 0.000 0.000
150 0.371 0.517 0.000 0.112 0.000 0.000 0.000
155 0.394 0.526 0.000 0.073 0.007 0.000 0.000
160 0.409 0.447 0.000 0.136 0.008 0.000 0.000
165 0.349 0.535 0.000 0.116 0.000 0.000 0.000
170 0.240 0.536 0.000 0.216 0.008 0.000 0.000
175 0.280 0.600 0.000 0.120 0.000 0.000 0.000
180 0.352 0.512 0.000 0.136 0.000 0.000 0.000
185 0.296 0.496 0.000 0.192 0.016 0.000 0.000
190 0.312 0.496 0.000 0.192 0.000 0.000 0.000
195 0.380 0.434 0.000 0.155 0.031 0.000 0.000
200 0.280 0.591 0.000 0.129 0.000 0.000 0.000
205 0.292 0.577 0.000 0.124 0.007 0.000 0.000
210 0.238 0.622 0.000 0.133 0.007 0.000 0.000
215 0.291 0.656 0.000 0.033 0.020 0.000 0.000
220 0.383 0.506 0.000 0.099 0.012 0.000 0.000
225 0.371 0.520 0.000 0.103 0.006 0.000 0.000
230 0.395 0.519 0.000 0.086 0.000 0.000 0.000
235 0.444 0.510 0.000 0.046 0.000 0.000 0.000
240 0.510 0.434 0.000 0.049 0.007 0.000 0.000
245 0.569 0.358 0.000 0.066 0.007 0.000 0.000
250 0.606 0.333 0.000 0.061 0.000 0.000 0.000
255 0.628 0.318 0.000 0.054 0.000 0.000 0.000
260 0.592 0.336 0.000 0.072 0.000 0.000 0.000
265 0.536 0.344 0.000 0.120 0.000 0.000 0.000
270 0.480 0.416 0.000 0.104 0.000 0.000 0.000
275 0.496 0.464 0.000 0.032 0.008 0.000 0.000
280 0.408 0.552 0.000 0.040 0.000 0.000 0.000
285 0.357 0.558 0.000 0.078 0.008 0.000 0.000
290 0.402 0.538 0.000 0.045 0.015 0.000 0.000
295 0.511 0.358 0.000 0.131 0.000 0.000 0.000
300 0.881 0.063 0.000 0.056 0.000 0.000 0.000
305 0.411 0.510 0.000 0.079 0.000 0.000 0.000
310 0.333 0.580 0.000 0.086 0.000 0.000 0.000
315 0.434 0.491 0.000 0.074 0.000 0.000 0.000
320 0.407 0.494 0.000 0.086 0.012 0.000 0.000
325 0.291 0.623 0.000 0.086 0.000 0.000 0.000
330 0.357 0.531 0.000 0.112 0.000 0.000 0.000
335 0.431 0.482 0.000 0.080 0.007 0.000 0.000
340 0.409 0.470 0.000 0.121 0.000 0.000 0.000
345 0.349 0.535 0.000 0.116 0.000 0.000 0.000
350 0.240 0.536 0.000 0.216 0.008 0.000 0.000
355 0.280 0.600 0.000 0.120 0.000 0.000 0.000
