Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.392 0.488 0.000 0.120 0.000 0.000 0.000
  5 0.432 0.456 0.000 0.112 0.000 0.000 0.000
 10 0.424 0.552 0.000 0.016 0.008 0.000 0.000
 15 0.419 0.512 0.000 0.070 0.000 0.000 0.000
 20 0.212 0.712 0.000 0.068 0.008 0.000 0.000
 25 0.255 0.708 0.000 0.036 0.000 0.000 0.000
 30 0.273 0.636 0.000 0.091 0.000 0.000 0.000
 35 0.325 0.609 0.000 0.066 0.000 0.000 0.000
 40 0.414 0.549 0.000 0.037 0.000 0.000 0.000
 45 0.389 0.537 0.000 0.074 0.000 0.000 0.000
 50 0.469 0.451 0.000 0.080 0.000 0.000 0.000
 55 0.450 0.483 0.000 0.066 0.000 0.000 0.000
 60 0.448 0.503 0.000 0.042 0.007 0.000 0.000
 65 0.365 0.482 0.000 0.153 0.000 0.000 0.000
 70 0.417 0.477 0.000 0.091 0.015 0.000 0.000
 75 0.450 0.488 0.000 0.039 0.023 0.000 0.000
 80 0.448 0.504 0.000 0.024 0.024 0.000 0.000
 85 0.544 0.424 0.000 0.016 0.016 0.000 0.000
 90 0.584 0.344 0.000 0.064 0.008 0.000 0.000
 95 0.416 0.368 0.000 0.208 0.008 0.000 0.000
100 0.408 0.384 0.000 0.192 0.016 0.000 0.000
105 0.395 0.419 0.000 0.163 0.008 0.000 0.016
110 0.295 0.470 0.000 0.114 0.083 0.000 0.038
115 0.270 0.460 0.000 0.175 0.022 0.000 0.073
120 0.196 0.441 0.000 0.266 0.021 0.000 0.077
125 0.225 0.430 0.000 0.225 0.053 0.000 0.066
130 0.235 0.420 0.000 0.247 0.012 0.000 0.086
135 0.223 0.429 0.000 0.280 0.029 0.000 0.040
140 0.315 0.377 0.000 0.265 0.043 0.000 0.000
145 0.404 0.298 0.000 0.298 0.000 0.000 0.000
150 0.294 0.413 0.000 0.273 0.021 0.000 0.000
155 0.285 0.416 0.000 0.292 0.007 0.000 0.000
160 0.265 0.470 0.000 0.242 0.023 0.000 0.000
165 0.295 0.450 0.000 0.202 0.054 0.000 0.000
170 0.360 0.440 0.000 0.144 0.056 0.000 0.000
175 0.384 0.400 0.000 0.184 0.032 0.000 0.000
180 0.392 0.488 0.000 0.120 0.000 0.000 0.000
185 0.432 0.456 0.000 0.112 0.000 0.000 0.000
190 0.424 0.552 0.000 0.016 0.008 0.000 0.000
195 0.419 0.512 0.000 0.070 0.000 0.000 0.000
200 0.197 0.712 0.000 0.083 0.008 0.000 0.000
205 0.248 0.701 0.000 0.051 0.000 0.000 0.000
210 0.273 0.650 0.000 0.077 0.000 0.000 0.000
215 0.311 0.636 0.000 0.046 0.007 0.000 0.000
220 0.469 0.500 0.000 0.031 0.000 0.000 0.000
225 0.389 0.537 0.000 0.074 0.000 0.000 0.000
230 0.481 0.444 0.000 0.074 0.000 0.000 0.000
235 0.397 0.510 0.000 0.093 0.000 0.000 0.000
240 0.441 0.510 0.000 0.042 0.007 0.000 0.000
245 0.358 0.474 0.000 0.168 0.000 0.000 0.000
250 0.439 0.424 0.000 0.114 0.023 0.000 0.000
255 0.450 0.488 0.000 0.039 0.023 0.000 0.000
260 0.448 0.504 0.000 0.024 0.024 0.000 0.000
265 0.544 0.424 0.000 0.016 0.016 0.000 0.000
270 0.584 0.344 0.000 0.064 0.008 0.000 0.000
275 0.416 0.368 0.000 0.208 0.008 0.000 0.000
280 0.408 0.384 0.000 0.192 0.016 0.000 0.000
285 0.395 0.419 0.000 0.163 0.008 0.000 0.016
290 0.303 0.447 0.000 0.152 0.061 0.000 0.038
295 0.190 0.496 0.000 0.197 0.036 0.000 0.080
300 0.182 0.462 0.000 0.259 0.021 0.000 0.077
305 0.172 0.490 0.000 0.219 0.053 0.000 0.066
310 0.272 0.395 0.000 0.235 0.012 0.000 0.086
315 0.223 0.429 0.000 0.280 0.029 0.000 0.040
320 0.302 0.389 0.000 0.284 0.025 0.000 0.000
325 0.450 0.272 0.000 0.265 0.013 0.000 0.000
330 0.301 0.406 0.000 0.273 0.021 0.000 0.000
335 0.263 0.416 0.000 0.321 0.000 0.000 0.000
340 0.280 0.477 0.000 0.197 0.045 0.000 0.000
345 0.295 0.450 0.000 0.202 0.054 0.000 0.000
350 0.360 0.440 0.000 0.144 0.056 0.000 0.000
355 0.384 0.400 0.000 0.184 0.032 0.000 0.000
