Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.320 0.624 0.000 0.040 0.016 0.000 0.000
  5 0.288 0.608 0.000 0.104 0.000 0.000 0.000
 10 0.264 0.608 0.000 0.072 0.056 0.000 0.000
 15 0.248 0.620 0.000 0.109 0.023 0.000 0.000
 20 0.265 0.606 0.000 0.098 0.030 0.000 0.000
 25 0.307 0.562 0.000 0.124 0.007 0.000 0.000
 30 0.329 0.531 0.000 0.133 0.007 0.000 0.000
 35 0.450 0.543 0.000 0.007 0.000 0.000 0.000
 40 0.327 0.636 0.000 0.037 0.000 0.000 0.000
 45 0.263 0.669 0.000 0.069 0.000 0.000 0.000
 50 0.315 0.660 0.000 0.025 0.000 0.000 0.000
 55 0.338 0.636 0.000 0.026 0.000 0.000 0.000
 60 0.287 0.685 0.000 0.028 0.000 0.000 0.000
 65 0.307 0.664 0.000 0.029 0.000 0.000 0.000
 70 0.341 0.576 0.000 0.083 0.000 0.000 0.000
 75 0.302 0.674 0.000 0.023 0.000 0.000 0.000
 80 0.288 0.696 0.000 0.016 0.000 0.000 0.000
 85 0.224 0.720 0.000 0.056 0.000 0.000 0.000
 90 0.360 0.600 0.000 0.040 0.000 0.000 0.000
 95 0.328 0.616 0.000 0.056 0.000 0.000 0.000
100 0.376 0.584 0.000 0.040 0.000 0.000 0.000
105 0.411 0.589 0.000 0.000 0.000 0.000 0.000
110 0.523 0.470 0.000 0.008 0.000 0.000 0.000
115 0.547 0.372 0.000 0.080 0.000 0.000 0.000
120 0.727 0.175 0.000 0.098 0.000 0.000 0.000
125 0.391 0.536 0.000 0.073 0.000 0.000 0.000
130 0.426 0.549 0.000 0.025 0.000 0.000 0.000
135 0.423 0.509 0.000 0.069 0.000 0.000 0.000
140 0.346 0.586 0.000 0.068 0.000 0.000 0.000
145 0.430 0.510 0.000 0.053 0.007 0.000 0.000
150 0.364 0.538 0.000 0.084 0.014 0.000 0.000
155 0.365 0.526 0.000 0.095 0.015 0.000 0.000
160 0.364 0.583 0.000 0.053 0.000 0.000 0.000
165 0.326 0.636 0.000 0.039 0.000 0.000 0.000
170 0.360 0.568 0.000 0.072 0.000 0.000 0.000
175 0.272 0.672 0.000 0.056 0.000 0.000 0.000
180 0.320 0.624 0.000 0.040 0.016 0.000 0.000
185 0.288 0.608 0.000 0.104 0.000 0.000 0.000
190 0.264 0.608 0.000 0.072 0.056 0.000 0.000
195 0.248 0.620 0.000 0.109 0.023 0.000 0.000
200 0.189 0.621 0.000 0.159 0.030 0.000 0.000
205 0.350 0.518 0.000 0.109 0.022 0.000 0.000
210 0.329 0.524 0.000 0.140 0.007 0.000 0.000
215 0.450 0.523 0.000 0.026 0.000 0.000 0.000
220 0.284 0.667 0.000 0.049 0.000 0.000 0.000
225 0.263 0.669 0.000 0.069 0.000 0.000 0.000
230 0.290 0.673 0.000 0.037 0.000 0.000 0.000
235 0.285 0.649 0.000 0.066 0.000 0.000 0.000
240 0.287 0.692 0.000 0.021 0.000 0.000 0.000
245 0.270 0.693 0.000 0.036 0.000 0.000 0.000
250 0.333 0.614 0.000 0.053 0.000 0.000 0.000
255 0.302 0.674 0.000 0.023 0.000 0.000 0.000
260 0.288 0.696 0.000 0.016 0.000 0.000 0.000
265 0.224 0.720 0.000 0.056 0.000 0.000 0.000
270 0.360 0.600 0.000 0.040 0.000 0.000 0.000
275 0.328 0.616 0.000 0.056 0.000 0.000 0.000
280 0.376 0.584 0.000 0.040 0.000 0.000 0.000
285 0.411 0.589 0.000 0.000 0.000 0.000 0.000
290 0.508 0.492 0.000 0.000 0.000 0.000 0.000
295 0.482 0.453 0.000 0.066 0.000 0.000 0.000
300 0.671 0.224 0.000 0.105 0.000 0.000 0.000
305 0.358 0.603 0.000 0.040 0.000 0.000 0.000
310 0.370 0.562 0.000 0.062 0.006 0.000 0.000
315 0.423 0.509 0.000 0.069 0.000 0.000 0.000
320 0.333 0.599 0.000 0.068 0.000 0.000 0.000
325 0.404 0.517 0.000 0.073 0.007 0.000 0.000
330 0.357 0.552 0.000 0.077 0.014 0.000 0.000
335 0.365 0.518 0.000 0.088 0.029 0.000 0.000
340 0.356 0.598 0.000 0.045 0.000 0.000 0.000
345 0.326 0.636 0.000 0.039 0.000 0.000 0.000
350 0.360 0.568 0.000 0.072 0.000 0.000 0.000
355 0.272 0.672 0.000 0.056 0.000 0.000 0.000
