Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.512 0.320 0.000 0.120 0.048 0.000 0.000
  5 0.528 0.264 0.000 0.120 0.088 0.000 0.000
 10 0.616 0.192 0.000 0.136 0.056 0.000 0.000
 15 0.581 0.240 0.000 0.140 0.039 0.000 0.000
 20 0.432 0.341 0.000 0.159 0.068 0.000 0.000
 25 0.496 0.336 0.000 0.117 0.051 0.000 0.000
 30 0.434 0.357 0.000 0.161 0.049 0.000 0.000
 35 0.490 0.298 0.000 0.152 0.060 0.000 0.000
 40 0.531 0.272 0.000 0.160 0.037 0.000 0.000
 45 0.554 0.234 0.000 0.177 0.034 0.000 0.000
 50 0.537 0.296 0.000 0.154 0.012 0.000 0.000
 55 0.570 0.278 0.000 0.146 0.007 0.000 0.000
 60 0.510 0.301 0.000 0.175 0.014 0.000 0.000
 65 0.555 0.307 0.000 0.139 0.000 0.000 0.000
 70 0.591 0.227 0.000 0.174 0.008 0.000 0.000
 75 0.558 0.295 0.000 0.132 0.016 0.000 0.000
 80 0.608 0.264 0.000 0.072 0.056 0.000 0.000
 85 0.664 0.224 0.000 0.072 0.032 0.000 0.008
 90 0.544 0.288 0.000 0.136 0.000 0.000 0.032
 95 0.552 0.248 0.000 0.120 0.008 0.000 0.072
100 0.520 0.296 0.000 0.088 0.000 0.000 0.096
105 0.434 0.364 0.000 0.062 0.016 0.000 0.124
110 0.417 0.288 0.000 0.136 0.015 0.000 0.144
115 0.431 0.314 0.000 0.080 0.000 0.000 0.175
120 0.678 0.042 0.000 0.105 0.000 0.000 0.175
125 0.523 0.146 0.000 0.073 0.046 0.000 0.212
130 0.389 0.253 0.000 0.105 0.025 0.000 0.228
135 0.394 0.269 0.000 0.086 0.006 0.000 0.246
140 0.340 0.210 0.000 0.210 0.019 0.000 0.222
145 0.397 0.232 0.000 0.152 0.020 0.000 0.199
150 0.476 0.231 0.000 0.098 0.028 0.000 0.168
155 0.460 0.226 0.000 0.153 0.029 0.000 0.131
160 0.568 0.212 0.000 0.061 0.045 0.000 0.114
165 0.605 0.186 0.000 0.085 0.054 0.000 0.070
170 0.616 0.208 0.000 0.080 0.080 0.000 0.016
175 0.512 0.272 0.000 0.136 0.080 0.000 0.000
180 0.512 0.320 0.000 0.120 0.048 0.000 0.000
185 0.528 0.264 0.000 0.120 0.088 0.000 0.000
190 0.616 0.192 0.000 0.136 0.056 0.000 0.000
195 0.581 0.240 0.000 0.140 0.039 0.000 0.000
200 0.515 0.273 0.000 0.129 0.083 0.000 0.000
205 0.489 0.372 0.000 0.073 0.066 0.000 0.000
210 0.441 0.364 0.000 0.140 0.056 0.000 0.000
215 0.510 0.291 0.000 0.159 0.040 0.000 0.000
220 0.512 0.302 0.000 0.136 0.049 0.000 0.000
225 0.554 0.234 0.000 0.177 0.034 0.000 0.000
230 0.506 0.241 0.000 0.228 0.025 0.000 0.000
235 0.530 0.291 0.000 0.172 0.007 0.000 0.000
240 0.503 0.294 0.000 0.196 0.007 0.000 0.000
245 0.577 0.307 0.000 0.102 0.015 0.000 0.000
250 0.568 0.273 0.000 0.136 0.023 0.000 0.000
255 0.558 0.295 0.000 0.132 0.016 0.000 0.000
260 0.608 0.264 0.000 0.072 0.056 0.000 0.000
265 0.664 0.224 0.000 0.072 0.032 0.000 0.008
270 0.544 0.288 0.000 0.136 0.000 0.000 0.032
275 0.552 0.248 0.000 0.120 0.008 0.000 0.072
280 0.520 0.296 0.000 0.088 0.000 0.000 0.096
285 0.434 0.364 0.000 0.062 0.016 0.000 0.124
290 0.386 0.318 0.000 0.144 0.008 0.000 0.144
295 0.511 0.219 0.000 0.109 0.000 0.000 0.161
300 0.678 0.042 0.000 0.105 0.000 0.000 0.175
305 0.503 0.166 0.000 0.079 0.046 0.000 0.205
310 0.389 0.272 0.000 0.099 0.019 0.000 0.222
315 0.394 0.269 0.000 0.086 0.006 0.000 0.246
320 0.333 0.235 0.000 0.185 0.025 0.000 0.222
325 0.377 0.252 0.000 0.139 0.026 0.000 0.205
330 0.476 0.231 0.000 0.098 0.028 0.000 0.168
335 0.496 0.248 0.000 0.080 0.022 0.000 0.153
340 0.606 0.189 0.000 0.061 0.030 0.000 0.114
345 0.605 0.186 0.000 0.085 0.054 0.000 0.070
350 0.616 0.208 0.000 0.080 0.080 0.000 0.016
355 0.512 0.272 0.000 0.136 0.080 0.000 0.000
