Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.384 0.472 0.000 0.120 0.024 0.000 0.000
  5 0.408 0.424 0.000 0.136 0.032 0.000 0.000
 10 0.344 0.472 0.000 0.160 0.024 0.000 0.000
 15 0.287 0.519 0.000 0.186 0.008 0.000 0.000
 20 0.341 0.462 0.000 0.174 0.023 0.000 0.000
 25 0.438 0.409 0.000 0.139 0.015 0.000 0.000
 30 0.364 0.413 0.000 0.210 0.014 0.000 0.000
 35 0.305 0.430 0.000 0.265 0.000 0.000 0.000
 40 0.333 0.401 0.000 0.259 0.006 0.000 0.000
 45 0.343 0.411 0.000 0.240 0.006 0.000 0.000
 50 0.377 0.389 0.000 0.235 0.000 0.000 0.000
 55 0.331 0.457 0.000 0.212 0.000 0.000 0.000
 60 0.406 0.385 0.000 0.203 0.007 0.000 0.000
 65 0.423 0.423 0.000 0.153 0.000 0.000 0.000
 70 0.409 0.364 0.000 0.227 0.000 0.000 0.000
 75 0.372 0.419 0.000 0.202 0.008 0.000 0.000
 80 0.480 0.416 0.000 0.096 0.008 0.000 0.000
 85 0.568 0.360 0.000 0.064 0.008 0.000 0.000
 90 0.360 0.496 0.000 0.136 0.008 0.000 0.000
 95 0.328 0.528 0.000 0.112 0.032 0.000 0.000
100 0.448 0.416 0.000 0.128 0.008 0.000 0.000
105 0.364 0.411 0.000 0.217 0.008 0.000 0.000
110 0.371 0.439 0.000 0.189 0.000 0.000 0.000
115 0.328 0.555 0.000 0.117 0.000 0.000 0.000
120 0.329 0.448 0.000 0.161 0.063 0.000 0.000
125 0.344 0.510 0.000 0.139 0.007 0.000 0.000
130 0.358 0.457 0.000 0.179 0.006 0.000 0.000
135 0.394 0.434 0.000 0.137 0.034 0.000 0.000
140 0.358 0.475 0.000 0.142 0.025 0.000 0.000
145 0.397 0.490 0.000 0.113 0.000 0.000 0.000
150 0.406 0.455 0.000 0.133 0.007 0.000 0.000
155 0.387 0.504 0.000 0.109 0.000 0.000 0.000
160 0.333 0.598 0.000 0.068 0.000 0.000 0.000
165 0.380 0.504 0.000 0.109 0.008 0.000 0.000
170 0.328 0.528 0.000 0.120 0.024 0.000 0.000
175 0.336 0.552 0.000 0.080 0.032 0.000 0.000
180 0.384 0.472 0.000 0.120 0.024 0.000 0.000
185 0.408 0.424 0.000 0.136 0.032 0.000 0.000
190 0.344 0.472 0.000 0.160 0.024 0.000 0.000
195 0.287 0.519 0.000 0.186 0.008 0.000 0.000
200 0.386 0.455 0.000 0.152 0.008 0.000 0.000
205 0.423 0.372 0.000 0.190 0.015 0.000 0.000
210 0.350 0.427 0.000 0.210 0.014 0.000 0.000
215 0.338 0.477 0.000 0.172 0.013 0.000 0.000
220 0.296 0.414 0.000 0.272 0.019 0.000 0.000
225 0.343 0.411 0.000 0.240 0.006 0.000 0.000
230 0.346 0.438 0.000 0.204 0.012 0.000 0.000
235 0.397 0.430 0.000 0.172 0.000 0.000 0.000
240 0.413 0.392 0.000 0.189 0.007 0.000 0.000
245 0.416 0.372 0.000 0.212 0.000 0.000 0.000
250 0.371 0.348 0.000 0.280 0.000 0.000 0.000
255 0.372 0.419 0.000 0.202 0.008 0.000 0.000
260 0.480 0.416 0.000 0.096 0.008 0.000 0.000
265 0.568 0.360 0.000 0.064 0.008 0.000 0.000
270 0.360 0.496 0.000 0.136 0.008 0.000 0.000
275 0.328 0.528 0.000 0.112 0.032 0.000 0.000
280 0.448 0.416 0.000 0.128 0.008 0.000 0.000
285 0.364 0.411 0.000 0.217 0.008 0.000 0.000
290 0.424 0.379 0.000 0.167 0.030 0.000 0.000
295 0.234 0.628 0.000 0.139 0.000 0.000 0.000
300 0.329 0.455 0.000 0.154 0.063 0.000 0.000
305 0.351 0.477 0.000 0.166 0.007 0.000 0.000
310 0.401 0.444 0.000 0.136 0.019 0.000 0.000
315 0.394 0.434 0.000 0.137 0.034 0.000 0.000
320 0.377 0.481 0.000 0.093 0.049 0.000 0.000
325 0.437 0.450 0.000 0.106 0.007 0.000 0.000
330 0.413 0.448 0.000 0.133 0.007 0.000 0.000
335 0.401 0.562 0.000 0.036 0.000 0.000 0.000
340 0.432 0.530 0.000 0.038 0.000 0.000 0.000
345 0.380 0.504 0.000 0.109 0.008 0.000 0.000
350 0.328 0.528 0.000 0.120 0.024 0.000 0.000
355 0.336 0.552 0.000 0.080 0.032 0.000 0.000
