Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.384 0.424 0.000 0.192 0.000 0.000 0.000
  5 0.352 0.392 0.000 0.256 0.000 0.000 0.000
 10 0.344 0.456 0.000 0.200 0.000 0.000 0.000
 15 0.194 0.550 0.000 0.233 0.023 0.000 0.000
 20 0.197 0.538 0.000 0.227 0.038 0.000 0.000
 25 0.168 0.496 0.000 0.314 0.022 0.000 0.000
 30 0.154 0.497 0.000 0.301 0.049 0.000 0.000
 35 0.238 0.437 0.000 0.291 0.033 0.000 0.000
 40 0.278 0.506 0.000 0.191 0.025 0.000 0.000
 45 0.366 0.417 0.000 0.206 0.011 0.000 0.000
 50 0.420 0.463 0.000 0.117 0.000 0.000 0.000
 55 0.430 0.450 0.000 0.119 0.000 0.000 0.000
 60 0.322 0.490 0.000 0.182 0.007 0.000 0.000
 65 0.321 0.474 0.000 0.204 0.000 0.000 0.000
 70 0.356 0.417 0.000 0.227 0.000 0.000 0.000
 75 0.318 0.419 0.000 0.256 0.008 0.000 0.000
 80 0.288 0.496 0.000 0.216 0.000 0.000 0.000
 85 0.264 0.472 0.000 0.264 0.000 0.000 0.000
 90 0.280 0.456 0.000 0.264 0.000 0.000 0.000
 95 0.464 0.376 0.000 0.152 0.008 0.000 0.000
100 0.424 0.456 0.000 0.120 0.000 0.000 0.000
105 0.496 0.264 0.000 0.225 0.016 0.000 0.000
110 0.318 0.485 0.000 0.189 0.008 0.000 0.000
115 0.190 0.613 0.000 0.168 0.029 0.000 0.000
120 0.273 0.413 0.000 0.259 0.056 0.000 0.000
125 0.291 0.510 0.000 0.179 0.020 0.000 0.000
130 0.407 0.414 0.000 0.167 0.012 0.000 0.000
135 0.251 0.474 0.000 0.263 0.011 0.000 0.000
140 0.389 0.389 0.000 0.204 0.019 0.000 0.000
145 0.272 0.358 0.000 0.344 0.026 0.000 0.000
150 0.343 0.364 0.000 0.294 0.000 0.000 0.000
155 0.212 0.438 0.000 0.350 0.000 0.000 0.000
160 0.303 0.447 0.000 0.250 0.000 0.000 0.000
165 0.333 0.442 0.000 0.217 0.008 0.000 0.000
170 0.320 0.496 0.000 0.184 0.000 0.000 0.000
175 0.248 0.536 0.000 0.216 0.000 0.000 0.000
180 0.384 0.424 0.000 0.192 0.000 0.000 0.000
185 0.352 0.392 0.000 0.256 0.000 0.000 0.000
190 0.344 0.456 0.000 0.200 0.000 0.000 0.000
195 0.194 0.550 0.000 0.233 0.023 0.000 0.000
200 0.129 0.545 0.000 0.295 0.030 0.000 0.000
205 0.168 0.526 0.000 0.285 0.022 0.000 0.000
210 0.140 0.503 0.000 0.308 0.049 0.000 0.000
215 0.238 0.517 0.000 0.238 0.007 0.000 0.000
220 0.284 0.481 0.000 0.204 0.031 0.000 0.000
225 0.366 0.417 0.000 0.206 0.011 0.000 0.000
230 0.407 0.469 0.000 0.123 0.000 0.000 0.000
235 0.424 0.444 0.000 0.132 0.000 0.000 0.000
240 0.336 0.490 0.000 0.161 0.014 0.000 0.000
245 0.350 0.467 0.000 0.182 0.000 0.000 0.000
250 0.371 0.394 0.000 0.235 0.000 0.000 0.000
255 0.318 0.419 0.000 0.256 0.008 0.000 0.000
260 0.288 0.496 0.000 0.216 0.000 0.000 0.000
265 0.264 0.472 0.000 0.264 0.000 0.000 0.000
270 0.280 0.456 0.000 0.264 0.000 0.000 0.000
275 0.464 0.376 0.000 0.152 0.008 0.000 0.000
280 0.424 0.456 0.000 0.120 0.000 0.000 0.000
285 0.496 0.264 0.000 0.225 0.016 0.000 0.000
290 0.364 0.477 0.000 0.136 0.023 0.000 0.000
295 0.248 0.584 0.000 0.153 0.015 0.000 0.000
300 0.259 0.399 0.000 0.273 0.070 0.000 0.000
305 0.298 0.536 0.000 0.159 0.007 0.000 0.000
310 0.346 0.389 0.000 0.265 0.000 0.000 0.000
315 0.251 0.474 0.000 0.263 0.011 0.000 0.000
320 0.358 0.444 0.000 0.185 0.012 0.000 0.000
325 0.325 0.391 0.000 0.265 0.020 0.000 0.000
330 0.336 0.357 0.000 0.308 0.000 0.000 0.000
335 0.241 0.423 0.000 0.336 0.000 0.000 0.000
340 0.235 0.447 0.000 0.318 0.000 0.000 0.000
345 0.333 0.442 0.000 0.217 0.008 0.000 0.000
350 0.320 0.496 0.000 0.184 0.000 0.000 0.000
355 0.248 0.536 0.000 0.216 0.000 0.000 0.000
