Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2010	  1	   1	  0	  0.0417	 23.6795	-70.6690	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	288.9798	302.5257	302.4363	302.4363	302.4363	302.4363	 -3.0873	 86.9910	  0.4364	   0.0000	  0.0000	    0.5059	  0.8201	   0.5059	  0.7464	  0.6000	  0.0000	  0.0000
2010	  1	   2	  0	  0.0833	 54.6374	-63.4637	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	288.9734	302.5257	302.4357	302.4357	302.4357	302.4357	 -3.0875	 86.9929	  0.4364	   0.0000	  0.0000	    0.5059	  0.8201	   0.5059	  0.7464	  0.6000	  0.0000	  0.0000
2010	  1	   3	  0	  0.1250	 72.8559	-53.3027	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	288.9544	302.5257	302.4338	302.4338	302.4338	302.4338	 -3.0881	 86.9985	  0.4364	   0.0000	  0.0000	    0.5059	  0.8201	   0.5059	  0.7462	  0.6000	  0.0000	  0.0000
2010	  1	   4	  0	  0.1667	 85.1621	-42.1887	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	288.9317	302.5257	302.4316	302.4316	302.4316	302.4316	 -3.0888	 87.0052	  0.4364	   0.0000	  0.0000	    0.5059	  0.8201	   0.5059	  0.7460	  0.6000	  0.0000	  0.0000
2010	  1	   5	  0	  0.2083	 95.0183	-30.8683	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	288.8781	302.5257	302.4264	302.4264	302.4264	302.4264	 -3.0906	 87.0211	  0.4364	   0.0000	  0.0000	    0.5059	  0.8201	   0.5059	  0.7455	  0.6000	  0.0000	  0.0000
2010	  1	   6	  0	  0.2500	103.9862	-19.7062	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	288.7911	302.5257	302.4179	302.4179	302.4179	302.4179	 -3.0934	 87.0469	  0.4364	   0.0000	  0.0000	    0.5059	  0.8201	   0.5059	  0.7448	  0.6000	  0.0000	  0.0000
2010	  1	   7	  0	  0.2917	112.9155	 -8.9532	   2.3333	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	286.9013	302.5257	302.2338	302.2338	302.2338	302.2338	 -3.1551	 87.0658	  0.4632	   0.0000	  0.0000	    0.5059	  0.8201	   0.5059	  0.7443	  0.6000	  0.0000	  0.0000
2010	  1	   8	  0	  0.3333	122.4029	  1.5244	  24.1042	  104.5837	  15.2163	 17.5250	  0.8751	  2.8360	  2.8360	  2.8360	  2.8360	262.5466	302.5257	299.8742	295.6968	295.6968	299.8742	 -3.7811	 69.1527	  0.8224	   0.0000	  0.0076	    0.5059	  0.8201	   0.5059	  0.7456	  0.6000	  2.0070	  0.0000
2010	  1	   9	  0	  0.3750	132.9308	 10.2132	  81.9271	   47.0370	  74.3767	 70.2360	  4.2421	 13.9181	 13.3678	 13.3678	 13.9190	270.2267	303.9496	301.8171	295.5262	295.5262	301.8171	 -1.4198	199.4313	  0.7318	   0.0246	  0.0658	    0.5059	  0.8201	   0.5059	  0.7471	  0.8708	  2.1743	  0.0000
2010	  1	  10	  0	  0.4167	144.8847	 17.6328	 142.2500	   38.8219	 129.5675	121.8785	  7.3603	 23.3660	 23.3660	 23.3660	 23.3660	278.4578	306.1898	304.7228	298.5708	298.6835	304.7228	  1.1396	340.3448	  0.6461	   0.0000	  0.0734	    0.5059	  0.8201	   0.5059	  0.7473	  1.4250	  2.2092	  0.2218
