Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2010	  1	   1	  0	  0.0417	  0.0000	  0.0000	289.0989	316.4044	  0.6000	-27.3055	152.3676	 -9.8392	124.6723	 10.2290	  0.2500	  0.0000	  0.0147	  0.0214	  0.2139	  0.2139	  0.2139	   0.2139	  0.0229	  0.0000	158.1544	 40.6603	  0.1125	  0.6362	  0.0656	  0.1500	 -2.4889	  0.0000	 12.1417	  3.3210	  4.0501	  0.0003	 84.3349
2010	  1	   2	  0	  0.0833	  0.0000	  0.0000	289.0057	316.3979	  0.6000	-27.3921	132.5045	 -8.4967	 88.1985	 25.4106	  0.5100	  0.0000	  0.0366	  0.2989	  0.1745	  0.1745	  0.3884	   0.3884	  0.3195	  0.0000	149.0709	 64.4539	  0.1125	  0.6351	  0.0656	  0.1500	 -3.4745	  0.0000	  8.7651	  2.5250	  4.2675	  0.0003	 93.9528
2010	  1	   3	  0	  0.1250	  0.0000	  0.0000	288.7294	316.3785	  0.6000	-27.6491	124.8358	 -7.8438	 85.5291	 19.5015	  0.0000	  0.0000	  0.0281	  0.1534	 -0.1815	 -0.1815	  0.2069	   0.2069	  0.1638	  0.0000	138.2858	 79.1110	  0.1125	  0.6319	  0.0656	  0.1500	 -3.5712	  0.0000	  8.5181	  2.4667	  4.1713	  0.0003	 92.2132
2010	  1	   4	  0	  0.1667	  0.0000	  0.0000	288.4001	316.3554	  0.6000	-27.9552	120.6872	 -7.5688	 88.1241	 12.1766	  0.0000	  0.0000	  0.0175	  0.0319	 -0.0495	 -0.0495	  0.1574	   0.1574	  0.0341	  0.0000	126.9986	 89.9300	  0.1125	  0.6281	  0.0656	  0.1500	 -3.4648	  0.0000	  8.7584	  2.5234	  4.0525	  0.0003	 89.2303
2010	  1	   5	  0	  0.2083	  0.0000	  0.0000	287.6289	316.3012	  0.6000	-28.6723	128.8587	 -7.7869	 97.5508	 10.4225	  0.0000	  0.0000	  0.0150	  0.0143	 -0.0293	 -0.0293	  0.1281	   0.1281	  0.0153	  0.0000	115.7008	 99.1982	  0.1125	  0.6193	  0.0656	  0.1500	 -3.1359	  0.0000	  9.6313	  2.7292	  3.9983	  0.0003	 86.7641
2010	  1	   6	  0	  0.2500	  0.0000	  0.0000	286.3926	316.2144	  0.6000	-29.8218	178.2650	 -8.4568	144.5529	 12.3471	  0.0000	  0.0000	  0.0178	  0.0075	 -0.0252	 -0.0252	  0.1028	   0.1028	  0.0080	  0.0000	104.6972	108.0347	  0.1125	  0.6052	  0.0656	  0.1500	 -2.1601	  0.0000	 13.9834	  3.7552	  3.9799	  0.0003	 80.3635
2010	  1	   7	  0	  0.2917	  2.3333	  0.2625	285.4959	316.3171	  0.6383	-28.7504	294.3008	 -7.6232	257.4799	 15.6937	  0.0000	  0.0000	  0.0226	  0.0036	 -0.0262	 -0.0262	  0.0766	   0.0766	  0.0039	  0.0000	 94.0090	117.1315	  0.1125	  0.5950	  0.0656	  0.1500	 -1.2198	  0.0000	 24.4393	  6.2202	  3.9946	  0.0003	 68.0374
2010	  1	   8	  0	  0.3333	 24.1042	  2.7112	287.7696	318.0225	  0.9946	 -8.8600	401.2849	  6.9089	370.0874	 15.4286	  0.0000	  0.0000	  0.0222	  0.0011	 -0.0233	 -0.0233	  0.0533	   0.0533	  0.0012	  0.0000	 84.3812	127.0212	  0.1125	  0.6210	  0.0656	  0.1986	 -2.2457	  0.0000	 30.6615	  8.0928	  4.0616	  0.0003	 60.7571
2010	  1	   9	  0	  0.3750	 81.9271	  9.2152	289.8124	323.4455	  2.2014	 39.0789	409.9593	 42.8099	393.8232	 12.4051	  0.0000	  0.0000	  0.0179	  0.0005	 -0.0184	 -0.0184	  0.0349	   0.0349	  0.0006	  0.0000	 76.0976	138.1518	  0.1125	  0.6299	  0.0656	  0.2971	 -6.0256	  0.0000	 27.7291	  6.8247	  4.0691	  0.0004	 66.3229
2010	  1	  10	  0	  0.4167	142.2500	 16.0003	289.5783	330.1243	  3.7084	 85.7037	387.5819	 77.5773	386.5715	  9.1368	  0.0000	  0.0000	  0.0132	  0.0004	 -0.0135	 -0.0135	  0.0214	   0.0214	  0.0004	  0.0000	 69.5110	150.8305	  0.1125	  0.5979	  0.0656	  0.4130	-17.3710	  0.0000	 24.3541	  5.6393	  4.0327	  0.0006	 71.3516
