Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2010	  1	   1	  0	  0.0417	  0.0000	  0.0000	289.0989	316.5868	  0.6000	-27.4879	100.4488	 -9.3326	 76.2139	  6.0796	  0.2500	  0.0000	  0.0088	  0.0200	  0.2212	  0.2212	  0.2212	   0.2212	  0.0214	  0.0000	158.1389	 40.6833	  0.1140	  0.6362	  0.1914	  0.1500	 -4.0800	  0.0000	  7.6556	  1.7152	  3.9605	  0.0130	 92.4004
2010	  1	   2	  0	  0.0833	  0.0000	  0.0000	289.0057	316.5808	  0.6000	-27.5751	 87.3540	 -7.9775	 52.5199	 15.2365	  0.5100	  0.0000	  0.0219	  0.2750	  0.2130	  0.2130	  0.4342	   0.4342	  0.2936	  0.0000	149.0549	 64.4620	  0.1140	  0.6351	  0.1914	  0.1500	 -5.8405	  0.0000	  5.4621	  1.3685	  4.0464	  0.0129	 96.7649
2010	  1	   3	  0	  0.1250	  0.0000	  0.0000	288.7294	316.5631	  0.6000	-27.8338	 82.2984	 -7.3083	 49.1703	 12.6026	  0.0000	  0.0000	  0.0182	  0.1448	 -0.1629	 -0.1629	  0.2713	   0.2713	  0.1545	  0.0000	138.2708	 79.1158	  0.1140	  0.6319	  0.1914	  0.1500	 -6.2105	  0.0000	  5.1521	  1.3195	  4.0105	  0.0129	 96.2444
2010	  1	   4	  0	  0.1667	  0.0000	  0.0000	288.4001	316.5421	  0.6000	-28.1419	 79.5634	 -7.0170	 49.8858	  8.5526	  0.0000	  0.0000	  0.0123	  0.0347	 -0.0471	 -0.0471	  0.2243	   0.2243	  0.0371	  0.0000	126.9850	 89.9350	  0.1140	  0.6281	  0.1914	  0.1500	 -6.1205	  0.0000	  5.2183	  1.3300	  3.9588	  0.0129	 94.9349
2010	  1	   5	  0	  0.2083	  0.0000	  0.0000	287.6289	316.4927	  0.6000	-28.8638	 84.9505	 -7.2024	 55.4487	  7.8403	  0.0000	  0.0000	  0.0113	  0.0180	 -0.0293	 -0.0293	  0.1949	   0.1949	  0.0193	  0.0000	115.6888	 99.2047	  0.1140	  0.6193	  0.1914	  0.1500	 -5.5187	  0.0000	  5.7335	  1.4114	  3.9231	  0.0129	 93.5341
2010	  1	   6	  0	  0.2500	  0.0000	  0.0000	286.3926	316.4136	  0.6000	-30.0210	117.5217	 -7.8219	 85.1554	 10.1672	  0.0000	  0.0000	  0.0146	  0.0112	 -0.0258	 -0.0258	  0.1691	   0.1691	  0.0120	  0.0000	104.6871	108.0431	  0.1140	  0.6052	  0.1914	  0.1500	 -3.6808	  0.0000	  8.4841	  1.8462	  3.8994	  0.0131	 90.1279
2010	  1	   7	  0	  0.2917	  2.3333	  0.2659	285.4959	316.5216	  0.6380	-28.9583	194.0186	 -7.0445	157.3086	 14.7962	  0.0000	  0.0000	  0.0213	  0.0070	 -0.0283	 -0.0283	  0.1409	   0.1409	  0.0075	  0.0000	 93.9992	117.1422	  0.1140	  0.5950	  0.1914	  0.1500	 -2.0027	  0.0000	 15.1648	  2.9021	  3.9106	  0.0132	 83.8605
2010	  1	   8	  0	  0.3333	 24.1042	  2.7469	287.7696	318.2103	  0.9914	 -9.0834	264.5482	  6.5333	231.8152	 17.1163	  0.0000	  0.0000	  0.0247	  0.0041	 -0.0288	 -0.0288	  0.1121	   0.1121	  0.0045	  0.0000	 84.3758	127.0343	  0.1140	  0.6210	  0.1914	  0.1741	 -2.1973	  0.0000	 14.1327	  3.5983	  4.0005	  0.0153	 81.6601
2010	  1	   9	  0	  0.3750	 81.9271	  9.3364	289.8124	323.6215	  2.1908	 38.7815	270.2668	 40.1080	252.8476	 16.0929	  0.0000	  0.0000	  0.0232	  0.0020	 -0.0252	 -0.0252	  0.0869	   0.0869	  0.0022	  0.0000	 76.0952	138.1674	  0.1140	  0.6299	  0.1914	  0.2377	 -4.8067	  0.0000	 11.8203	  3.1174	  4.0395	  0.0214	 85.2727
2010	  1	  10	  0	  0.4167	142.2500	 16.2108	289.5783	330.3108	  3.6903	 85.3066	255.5145	 72.5925	253.8542	 14.3744	  0.0000	  0.0000	  0.0207	  0.0015	 -0.0222	 -0.0222	  0.0647	   0.0647	  0.0016	  0.0000	 69.5121	150.8483	  0.1140	  0.5979	  0.1914	  0.3245	-12.7248	  0.0000	 11.6427	  3.1075	  4.0293	  0.0305	 85.1190
