sitename,latitude,longitude,measurement_height_above_ground,surface_cover_radius,time_analysis_start,time_coverage_end,timestep_interval_seconds,local_utc_offset_hours
KL-KualaLumpur-2016_1month_s1,2.916310813222783,101.4772053501332,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s2,2.956391845350323,101.4772053501332,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s3,2.9964689241400237,101.4772053501332,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s4,3.0365419902469992,101.4772053501332,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s5,3.0766109843293385,101.4772053501332,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s6,3.1166758470481692,101.4772053501332,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s7,3.1567365190677084,101.4772053501332,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s8,3.1967929410553273,101.4772053501332,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s9,2.916310813222783,101.5172496402054,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s10,2.956391845350323,101.5172496402054,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s11,2.9964689241400237,101.5172496402054,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s12,3.0365419902469992,101.5172496402054,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s13,3.0766109843293385,101.5172496402054,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s14,3.1166758470481692,101.5172496402054,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s15,3.1567365190677084,101.5172496402054,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s16,3.1967929410553273,101.5172496402054,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s17,2.916310813222783,101.55729679883997,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s18,2.956391845350323,101.55729679883997,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s19,2.9964689241400237,101.55729679883997,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s20,3.0365419902469992,101.55729679883997,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s21,3.0766109843293385,101.55729679883997,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s22,3.1166758470481692,101.55729679883997,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s23,3.1567365190677084,101.55729679883997,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s24,3.1967929410553273,101.55729679883997,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
KL-KualaLumpur-2016_1month_s25,2.916310813222783,101.59734686473729,100,1000,2016-01-01 00:00:00,2016-01-11 00:00:00,3600,8
