sitename,latitude,longitude,measurement_height_above_ground,surface_cover_radius,time_analysis_start,time_coverage_end,timestep_interval_seconds,local_utc_offset_hours
BE-Ghent,51.051987,3.743497,100,500,2019-07-21 00:00:00,2019-07-29 00:00:00,1800,1
CH-Shanghai,31.225615,121.474901,100,500,2021-07-01 00:00:00,2021-07-07 00:00:00,3600,8
FR-Paris,48.860759,2.337097,100,500,2022-07-21 00:00:00,2022-07-29 00:00:00,3600,1
GE-Dortmund,51.514065,7.464859,100,500,2019-07-21 00:00:00,2019-07-29 00:00:00,3600,1
UK-Hackney,51.547341,-0.063301,100,500,2022-07-10 00:00:00,2022-07-25 00:00:00,1800,0
KL-KualaLumpurTest,3.056577,101.617373,100,1000,2016-01-01 00:00:00,2016-01-06 00:00:00,3600,8
