sitename,latitude,longitude,measurement_height_above_ground,surface_cover_radius,time_analysis_start,time_coverage_end,timestep_interval_seconds,local_utc_offset_hours
KL-KualaLumpur-2017_1Msp_1_s26,2.956391845350323,101.59734686473729,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s27,2.9964689241400237,101.59734686473729,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s28,3.0365419902469992,101.59734686473729,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s29,3.0766109843293385,101.59734686473729,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s30,3.1166758470481692,101.59734686473729,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s31,3.1567365190677084,101.59734686473729,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s32,3.1967929410553273,101.59734686473729,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s33,2.916310813222783,101.63739987658546,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s34,2.956391845350323,101.63739987658546,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s35,2.9964689241400237,101.63739987658546,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s36,3.0365419902469992,101.63739987658546,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s37,3.0766109843293385,101.63739987658546,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s38,3.1166758470481692,101.63739987658546,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s39,3.1567365190677084,101.63739987658546,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s40,3.1967929410553273,101.63739987658546,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s41,2.916310813222783,101.67745587306008,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s42,2.956391845350323,101.67745587306008,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s43,2.9964689241400237,101.67745587306008,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s44,3.0365419902469992,101.67745587306008,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s45,3.0766109843293385,101.67745587306008,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s46,3.1166758470481692,101.67745587306008,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s47,3.1567365190677084,101.67745587306008,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s48,3.1967929410553273,101.67745587306008,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s49,2.916310813222783,101.71751489282403,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s50,2.956391845350323,101.71751489282403,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s51,2.9964689241400237,101.71751489282403,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s52,3.0365419902469992,101.71751489282403,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s53,3.0766109843293385,101.71751489282403,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s54,3.1166758470481692,101.71751489282403,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s55,3.1567365190677084,101.71751489282403,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s56,3.1967929410553273,101.71751489282403,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s57,2.916310813222783,101.75757697452725,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s58,2.956391845350323,101.75757697452725,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s59,2.9964689241400237,101.75757697452725,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s60,3.0365419902469992,101.75757697452725,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s61,3.0766109843293385,101.75757697452725,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s62,3.1166758470481692,101.75757697452725,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s63,3.1567365190677084,101.75757697452725,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
KL-KualaLumpur-2017_1Msp_1_s64,3.1967929410553273,101.75757697452725,100,1000,2016-12-01 00:00:00,2017-01-11 00:00:00,3600,8
